Strain,ZIKV,Sample,16S,S7,Abundance
Austin,Infected,AD1 1-1,22.61734581,24.03848648,0.324561984
Austin,Infected,AD1 1-2,25.36367798,22.46189308,0.016216883
Austin,Infected,AD1 1-3,26.07616615,21.50623894,0.005102776
Austin,Infected,AD1 1-4,23.75661182,19.56266022,0.006621958
Austin,Infected,AD1 1-5,25.48496628,22.62782097,0.016726506
Austin,Infected,AD1 1-6,21.96316338,23.26991367,0.299821461
Austin,Infected,AD1 1-7,25.1058321,21.1303091,0.007704421
Austin,Infected,AD1 1-8,20.86725235,22.19888687,0.305037768
Austin,Infected,AD1 1-9,24.20528984,21.23736668,0.015490227
Austin,Infected,AD1 1-10,26.88366318,21.24484158,0.002432413
Austin,Exposed,AD1 1-11,24.93260384,23.42732716,0.042693155
Austin,Infected,AD1 1-12,29.12608814,19.73405075,0.000180388
Austin,Infected,AD1 1-13,20.65808678,24.64466,1.921187706
Austin,Exposed,AD1 1-14,19.54461193,24.85611153,4.812961417
Austin,Infected,AD1 1-15,20.98600388,24.91895962,1.851097652
Austin,Exposed,AD1 1-16,20.01341915,23.43935108,1.302566649
Austin,Infected,AD1 1-17,18.0567112,23.78197002,6.411598519
Austin,Exposed,AD1 1-18,25.64709187,NA,NA
Austin,Exposed,AD1 1-19,25.47298145,33.83091354,NA
Austin,Infected,AD1 2-1,19.41892338,24.35525227,3.710861484
Austin,Infected,AD1 2-2,21.37593365,25.37483025,1.937668619
Austin,Exposed,AD1 2-3,12.80506849,32.82417107,128778.1082
Austin,Infected,AD1 2-4,21.20046139,23.65471268,0.66419398
Austin,Infected,AD1 2-5,17.83512402,26.11282825,37.61221856
Austin,Infected,AD1 2-6,22.37173843,26.42465019,2.011591024
Austin,Infected,AD1 2-7,22.08757591,25.82239246,1.613553948
Austin,Exposed,AD1 2-8,22.86627388,27.65736389,3.355470966
Austin,Infected,AD1 2-9,23.53224182,28.61706829,4.11317294
Austin,Exposed,AD1 2-10,27.73849487,26.89614773,0.067595833
Austin,Exposed,AD1 2-11,18.38868904,22.80118465,2.580983423
Austin,Infected,AD1 2-12,21.70652866,25.28410053,1.446932009
Austin,Infected,AD1 2-13,20.50874996,27.34150696,13.81517813
Austin,Exposed,AD1 2-14,24.39852333,27.44309807,1
Austin,Infected,AD1 2-15,20.30020237,26.34247017,7.987217841
Austin,Exposed,AD1 2-16,29.92052841,27.00280857,0.016038749
Austin,Infected,AD1 2-17,27.06190205,26.7589426,0.09824078
Austin,Exposed,AD1 2-18,21.87230778,26.7987957,3.685634953
Austin,Exposed,AD1 2-19,23.81793213,26.46061993,0.756867708
Austin,Infected,AD1 2-20,26.67377758,25.74938774,0.063859073
Austin,Exposed,AD1 2-21,29.56425762,26.21307182,0.011876384
Austin,Exposed,AD1 2-22,30.37114525,28.90958691,0.044006698
Austin,Exposed,AD1 2-23,31.89995575,26.33546925,0.002561028
Austin,Exposed,AD1 2A-1,26.76331806,27.91721439,0.269680216
Austin,Exposed,AD1 2A-2,23.52942181,25.0872879,0.356825682
Austin,Infected,AD1 2A-3,21.0811758,26.79559898,6.363623324
Austin,Exposed,AD1 2A-4,23.5978899,28.11053753,2.766521031
Austin,Infected,AD1 2A-5,22.51522064,25.7220192,1.119010688
Austin,Infected,AD1 2A-6,20.0179081,27.16683865,17.20022834
Austin,Infected,AD1 2A-7,23.05783844,28.19504833,4.265264338
Austin,Exposed,AD1 2A-8,25.98280716,28.42022228,0.656487927
Austin,Exposed,AD1 2A-9,19.33825016,27.37760448,31.88441678
Austin,Exposed,AD1 2A-10,26.77597046,27.17053413,0.159318857
Austin,Exposed,AD1 2A-11,25.26750088,27.36506462,0.518706016
Austin,Exposed,AD1 2A-12,17.4179039,27.72185326,153.2108457
Austin,Exposed,AD1 2A-13,28.34368706,24.88985825,0.011060776
Austin,Exposed,AD1 2A-14,23.40699291,26.48094273,1.020569956
Austin,Exposed,AD1 2A-15,25.71202374,25.61044788,0.1129573
Austin,Infected,AD1 2B-1,21.44555473,27.08473873,6.040254179
Austin,Infected,AD1 2B-2,22.31035519,25.99772739,1.561353782
Austin,Exposed,AD1 2B-3,23.73718071,26.23051739,0.682434241
Austin,Infected,AD1 2B-4,24.41274929,25.55315113,0.267169477
Austin,Infected,AD1 2B-5,22.77972412,25.31180763,0.701010896
Austin,Exposed,AD1 2B-6,15.42436314,31.69712257,9595.782219
Austin,Exposed,AD1 2B-7,21.55084038,25.22834301,1.550708907
Austin,Infected,AD1 2B-8,21.33654308,25.44719696,2.093735414
Austin,Infected,AD1 2B-9,23.81945896,26.29493999,0.674040085
Austin,Infected,AD1 2B-10,20.23031616,25.11841202,3.588848738
Austin,Infected,AD1 2B-11,23.41325092,25.74965477,0.612095688
Austin,Infected,AD1 2B-12,22.14464664,25.26764297,1.055862223
Austin,Infected,AD1 2B-13,23.44433212,27.86824703,2.601493625
Austin,Exposed,AD1 2B-14,13.59808779,31.79328156,36373.97642
Austin,Exposed,AD1 2B-15,16.45336866,26.0487318,93.75270443
Austin,Infected,AD1 3-1,18.11535358,26.81547356,50.40675702
Austin,Exposed,AD1 3-2,21.90747643,25.72782993,1.712114005
Austin,Exposed,AD1 3-3,23.03839302,27.04895878,1.953404899
Austin,Exposed,AD1 3-4,22.13212109,26.48643875,2.478973635
Austin,Infected,AD1 3-5,17.48376465,25.47211838,30.77696343
Austin,Exposed,AD1 3-6,19.64991856,24.82727242,4.385614859
Austin,Exposed,AD1 3-7,18.84753132,25.83707047,15.40113114
Austin,Infected,AD1 3-8,18.8850565,25.91989994,15.89243968
Austin,Infected,AD1 3-9,19.9890995,24.26994514,2.355887919
Austin,Exposed,AD1 3-10,20.77667522,24.92351627,2.146916842
Austin,Infected,AD1 3-11,18.23374557,24.59908199,9.9919183
