Strain,ZIKV,Sample,16S_Ct,S7_Ct,16S-S7,Abundance,Distribution
Galveston,Unexposed,GM01,19.08898926,23.63960266,-4.5506134,5.840214915,
Galveston,Unexposed,GM02,18.19493198,23.4389801,-5.24404812,9.444380587,
Galveston,Unexposed,GM03,17.278965,23.11962986,-5.84066486,14.28147337,
Galveston,Unexposed,GM04,19.30193233,23.59811687,-4.29618454,4.895962812,
Galveston,Unexposed,GM05,18.1521759,23.14811325,-4.99593735,7.952152423,
Galveston,Unexposed,GM06,20.31537724,23.94364357,-3.62826633,3.081588854,
Galveston,Unexposed,GM07,21.823596,23.24850178,-1.42490578,0.669109318,
Galveston,Unexposed,GM08,21.25491142,22.65647221,-1.40156079,0.658369246,
Galveston,Unexposed,GM09,20.63545418,23.47803688,-2.8425827,1.787558876,
Galveston,Unexposed,GM10,19.37406254,23.12828255,-3.75422001,3.362718633,
Galveston,Unexposed,GM11,18.01822948,23.45333862,-5.43510914,10.78173313,
Galveston,Unexposed,GM12,21.98473072,24.15527153,-2.17054081,1.121903719,
Galveston,Unexposed,GM13,21.53067493,24.96005344,-3.42937851,2.684747799,
Galveston,Unexposed,GM14,22.52441025,24.12719917,-1.60278892,0.756911735,
Galveston,Unexposed,GM15,24.43998814,23.88645363,0.55353451,0.169795903,
Galveston,Unexposed,GM16,23.05228996,25.35325909,-2.30096913,1.228056715,
Galveston,Unexposed,GM17,23.02876759,24.13129425,-1.10252666,0.535120135,
Galveston,Unexposed,GM18,22.65993977,24.09767246,-1.43773269,0.675084851,
Galveston,Unexposed,GM19,22.69768047,24.27689266,-1.57921219,0.744642699,
Galveston,Unexposed,GM20,19.9037056,24.96426487,-5.06055927,8.316447152,
Galveston,Unexposed,GM21,21.90893555,24.18255138,-2.27361583,1.204992269,
Galveston,Unexposed,GM22,24.06195545,23.89240551,0.16954994,0.221573633,
Galveston,Unexposed,GM23,21.95199966,24.80575848,-2.85375882,1.801460327,
Galveston,Unexposed,GM24,23.19905853,23.71632385,-0.51726532,0.356672868,
Galveston,Unexposed,GM25,21.73079967,24.26639557,-2.5355959,1.444934364,
Galveston,Unexposed,GM26,20.97928238,24.3761816,-3.39689922,2.624981545,
Galveston,Unexposed,GM27,23.51903343,24.42068005,-0.90164662,0.465565055,
Galveston,Unexposed,GM28,20.94844437,25.09874439,-4.15030002,4.425093933,
Galveston,Unexposed,GM29,22.44565201,24.58442688,-2.13877487,1.097471085,
Galveston,Unexposed,GM30,24.44520855,24.68907261,-0.24386406,0.295099242,
