id,Domain,Phylum,Class,Order,Family,Genus,Species
GBKB01000906.322.1853,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, Staphylococcus aureus
HM248444.1.1359,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, uncultured bacterium
FJ893898.1.1363,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, uncultured bacterium
GU130113.1.1483,Bacteria, Actinobacteria, Actinobacteria, Micromonosporales, Micromonosporaceae, Actinoplanes, Ambiguous_taxa
FJ900839.1.1396,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, uncultured bacterium
FJ913065.1.1309,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Serratia, Ambiguous_taxa
GU359111.1.1447,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Cryomorphaceae, Fluviicola, Ambiguous_taxa
FJ937929.1.1393,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas sp. LS227
FJ947065.1.1274,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Enterobacter, Enterobacter sp. xC3
FJ948822.1.1302,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas, Sphingomonas sp. DSV5M
FJ950540.1.1442,Bacteria, Actinobacteria, Actinobacteria, Micrococcales, Microbacteriaceae, Agromyces, Ambiguous_taxa
FJ950575.1.1463,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Ambiguous_taxa
FJ950691.1.1469,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Stenotrophomonas, Ambiguous_taxa
FJ957443.1.1492,Bacteria, Actinobacteria, Actinobacteria, Propionibacteriales, Propionibacteriaceae, Propionibacterium, uncultured bacterium
FJ957497.1.1475,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, uncultured Staphylococcus sp.
FJ957511.1.1474,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, Ambiguous_taxa
FJ959381.1.1390,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingopyxis, Sphingomonas sp. 2000-20
GU574152.1.1413,Bacteria, Actinobacteria, Actinobacteria, Pseudonocardiales, Pseudonocardiaceae, Saccharopolyspora, Ambiguous_taxa
AEKT01000037.108.1664,Bacteria, Firmicutes, Bacilli, Lactobacillales, Leuconostocaceae, Weissella, Ambiguous_taxa
FJ960103.1.1365,Bacteria, Cyanobacteria, Cyanobacteria, SubsectionI, FamilyI, Prochlorococcus, uncultured bacterium
FJ976563.1.1391,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Ambiguous_taxa
FJ983043.1.1537,Bacteria, Firmicutes, Clostridia, Clostridiales, Peptostreptococcaceae, Peptoclostridium, uncultured bacterium
FJ984609.1.1451,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Providencia, Ambiguous_taxa
FKEX01000004.14.1517,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Enterobacter, Ambiguous_taxa
FKZG01000038.3719.5200,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Escherichia-Shigella, Ambiguous_taxa
FM206315.1.1279,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia-Paraburkholderia, uncultured bacterium
